Complexity metrics,Tue, 9 Jan 2018 17:59:07 EST
Method,ev(G),iv(G),v(G)
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.OnClickListenerLocalDevice.onClick(View)",1,2,2
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.WiFiP2pServicesFragment()",1,1,1
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.changeLocalDeviceName(String)",2,1,2
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.getLocalDeviceNameText()",1,1,1
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.getMAdapter()",1,1,1
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.getMRecyclerView()",1,1,1
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.getTAG()",1,1,1
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.hideLocalDeviceGoIcon()",1,4,4
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.itemClicked(View)",1,2,2
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.newInstance()",1,1,1
