Complexity metrics,Tue, 9 Jan 2018 17:53:56 EST
Method,ev(G),iv(G),v(G)
"it.polimi.deib.p2pchat.discovery.services.WiFiServicesAdapter.getDeviceStatus(int)",7,2,7
"it.polimi.deib.p2pchat.discovery.services.WiFiServicesAdapter.getItemCount()",1,1,1
"it.polimi.deib.p2pchat.discovery.services.WiFiServicesAdapter.onBindViewHolder(ViewHolder,int)",1,2,2
"it.polimi.deib.p2pchat.discovery.services.WiFiServicesAdapter.onCreateViewHolder(ViewGroup,int)",1,1,1
"it.polimi.deib.p2pchat.discovery.services.localdeviceguielement.LocalDeviceDialogFragment.LocalDeviceDialogFragment()",1,1,1
"it.polimi.deib.p2pchat.discovery.services.localdeviceguielement.LocalDeviceDialogFragment.newInstance()",1,1,1
"it.polimi.deib.p2pchat.discovery.services.localdeviceguielement.LocalDeviceDialogFragment.onCreateView(LayoutInflater,ViewGroup,Bundle)",1,1,1
"it.polimi.deib.p2pchat.discovery.services.localdeviceguielement.LocalDeviceDialogFragment.onDestroyView()",1,3,3
"it.polimi.deib.p2pchat.discovery.services.localdeviceguielement.LocalDeviceDialogFragment.setListener()",1,1,1
"it.polimi.deib.p2pchat.discovery.socketmanagers.ChatManager.ChatManager(Socket,Handler)",1,1,1
"it.polimi.deib.p2pchat.discovery.socketmanagers.ChatManager.getHandler()",1,1,1
"it.polimi.deib.p2pchat.discovery.socketmanagers.ChatManager.getSocket()",1,1,1
"it.polimi.deib.p2pchat.discovery.socketmanagers.ChatManager.getTAG()",1,1,1
"it.polimi.deib.p2pchat.discovery.socketmanagers.ChatManager.getiStream()",1,1,1
"it.polimi.deib.p2pchat.discovery.socketmanagers.ChatManager.getoStream()",1,1,1
"it.polimi.deib.p2pchat.discovery.socketmanagers.ChatManager.isDisable()",1,1,1
"it.polimi.deib.p2pchat.discovery.socketmanagers.ChatManager.run()",4,6,7
"it.polimi.deib.p2pchat.discovery.socketmanagers.ChatManager.setDisable(boolean)",1,1,1
"it.polimi.deib.p2pchat.discovery.socketmanagers.ChatManager.setSocket(Socket)",1,1,1
"it.polimi.deib.p2pchat.discovery.socketmanagers.ChatManager.setiStream(InputStream)",1,1,1
"it.polimi.deib.p2pchat.discovery.socketmanagers.ChatManager.setoStream(OutputStream)",1,1,1
"it.polimi.deib.p2pchat.discovery.socketmanagers.ChatManager.write(byte[])",1,2,2
"it.polimi.deib.p2pchat.discovery.socketmanagers.ClientSocketHandler.ClientSocketHandler(Handler,InetAddress)",1,1,1
"it.polimi.deib.p2pchat.discovery.socketmanagers.ClientSocketHandler.closeSocketAndKillThisThread()",1,5,5
"it.polimi.deib.p2pchat.discovery.socketmanagers.ClientSocketHandler.run()",1,3,3
"it.polimi.deib.p2pchat.discovery.socketmanagers.GroupOwnerSocketHandler.GroupOwnerSocketHandler(Handler)",1,2,2
"it.polimi.deib.p2pchat.discovery.socketmanagers.GroupOwnerSocketHandler.closeSocketAndKillThisThread()",1,4,4
"it.polimi.deib.p2pchat.discovery.socketmanagers.GroupOwnerSocketHandler.getIpAddress()",1,1,1
"it.polimi.deib.p2pchat.discovery.socketmanagers.GroupOwnerSocketHandler.run()",2,8,8
"it.polimi.deib.p2pchat.discovery.utilities.CompressionUtils.CompressArray(byte[])",1,2,3
"it.polimi.deib.p2pchat.discovery.utilities.CompressionUtils.DecompressArray(byte[])",1,2,4
"it.polimi.deib.p2pchat.discovery.utilities.CopyUtils.processDataForTransmission(Cursor)",1,3,3
"it.polimi.deib.p2pchat.discovery.utilities.CopyUtils.receiveCopy(Intent)",1,1,1
"it.polimi.deib.p2pchat.discovery.utilities.IntentSerialization.BundleDeserializer.deserialize(JsonElement,Type,JsonDeserializationContext)",1,1,1
"it.polimi.deib.p2pchat.discovery.utilities.IntentSerialization.BundleSerializer.serialize(Bundle,Type,JsonSerializationContext)",1,1,1
"it.polimi.deib.p2pchat.discovery.utilities.IntentSerialization.IntentSerialization()",1,1,1
"it.polimi.deib.p2pchat.discovery.utilities.IntentSerialization.UriDeserializer.deserialize(JsonElement,Type,JsonDeserializationContext)",1,1,1
"it.polimi.deib.p2pchat.discovery.utilities.IntentSerialization.UriSerializer.serialize(Uri,Type,JsonSerializationContext)",1,1,1
"it.polimi.deib.p2pchat.discovery.utilities.IntentSerialization.bundleStringProcessing(String)",1,3,3
"it.polimi.deib.p2pchat.discovery.utilities.IntentSerialization.deserializeIntentGson(String)",1,3,3
"it.polimi.deib.p2pchat.discovery.utilities.IntentSerialization.deserializeIntentGsonBundle(String)",1,12,12
"it.polimi.deib.p2pchat.discovery.utilities.IntentSerialization.deserializeIntentGsonURI(String)",1,3,3
"it.polimi.deib.p2pchat.discovery.utilities.IntentSerialization.jsonStringToBundle(String)",1,1,2
"it.polimi.deib.p2pchat.discovery.utilities.IntentSerialization.jsonToBundle(JSONObject)",1,2,2
"it.polimi.deib.p2pchat.discovery.utilities.IntentSerialization.prepareJsonBundle(Bundle)",1,3,3
"it.polimi.deib.p2pchat.discovery.utilities.IntentSerialization.returnByteArrayFromString(String)",1,2,3
"it.polimi.deib.p2pchat.discovery.utilities.IntentSerialization.returnRemoteIntentFromByteArray(byte[])",1,6,6
"it.polimi.deib.p2pchat.discovery.utilities.IntentSerialization.serializeIntent(Intent)",2,2,2
"it.polimi.deib.p2pchat.discovery.utilities.IntentSerialization.serializeIntentGson(Intent)",1,1,1
"it.polimi.deib.p2pchat.discovery.utilities.IntentSerialization.toJsonObject(String)",1,1,1
"it.polimi.deib.p2pchat.discovery.utilities.Util.bundleStringProcessing(String)",1,7,8
"it.polimi.deib.p2pchat.discovery.utilities.Util.copyDirectoryOneLocationToAnotherLocation(File,File)",1,5,5
"it.polimi.deib.p2pchat.discovery.utilities.Util.getFileExtension(String)",2,2,2
"it.polimi.deib.p2pchat.discovery.utilities.Util.getFolderSize(File)",1,3,3
"it.polimi.deib.p2pchat.discovery.utilities.Util.getIPAddress(boolean)",7,7,9
"it.polimi.deib.p2pchat.discovery.utilities.Util.intentToRemoteIntent(Intent)",1,5,5
"it.polimi.deib.p2pchat.discovery.utilities.Util.jsoStringProcessing(String)",1,2,2
"it.polimi.deib.p2pchat.discovery.utilities.Util.openFile(File)",1,23,24

Class,OCavg,WMC
"it.polimi.deib.p2pchat.discovery.Configuration",n/a,0
"it.polimi.deib.p2pchat.discovery.DestinationDeviceTabList",2.62,21
"it.polimi.deib.p2pchat.discovery.MainActivity",1.75,114
"it.polimi.deib.p2pchat.discovery.SerializeDeserialize",3.00,9
"it.polimi.deib.p2pchat.discovery.TabFragment",1.00,14
"it.polimi.deib.p2pchat.discovery.TabFragment.SectionsPagerAdapter",1.75,7
"it.polimi.deib.p2pchat.discovery.TestClass",1.00,2
"it.polimi.deib.p2pchat.discovery.WiFiP2pBroadcastReceiver",3.50,7
"it.polimi.deib.p2pchat.discovery.actionlisteners.CustomDnsSdTxtRecordListener",1.00,1
"it.polimi.deib.p2pchat.discovery.actionlisteners.CustomDnsServiceResponseListener",4.00,4
"it.polimi.deib.p2pchat.discovery.actionlisteners.CustomizableActionListener",2.67,8
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment",1.41,31
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatMessageListAdapter",3.50,7
"it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter.MessageException",1.00,6
"it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter.MessageException.Reason",n/a,0
"it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter.MessageFilter",2.00,8
"it.polimi.deib.p2pchat.discovery.chatmessages.waitingtosend.WaitingToSendListElement",1.00,2
"it.polimi.deib.p2pchat.discovery.chatmessages.waitingtosend.WaitingToSendQueue",1.67,5
"it.polimi.deib.p2pchat.discovery.model.LocalP2PDevice",1.00,4
"it.polimi.deib.p2pchat.discovery.model.P2pDestinationDevice",1.00,7
"it.polimi.deib.p2pchat.discovery.services.ServiceList",2.00,14
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pService",1.00,6
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment",1.38,22
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.OnClickListenerLocalDevice",1.50,3
"it.polimi.deib.p2pchat.discovery.services.WiFiServicesAdapter",2.17,13
"it.polimi.deib.p2pchat.discovery.services.WiFiServicesAdapter.ViewHolder",1.00,2
"it.polimi.deib.p2pchat.discovery.services.localdeviceguielement.LocalDeviceDialogFragment",1.17,7
"it.polimi.deib.p2pchat.discovery.socketmanagers.ChatManager",1.23,16
"it.polimi.deib.p2pchat.discovery.socketmanagers.ClientSocketHandler",1.67,5
"it.polimi.deib.p2pchat.discovery.socketmanagers.GroupOwnerSocketHandler",2.00,8
"it.polimi.deib.p2pchat.discovery.utilities.CompressionUtils",2.00,4
"it.polimi.deib.p2pchat.discovery.utilities.CopyUtils",2.00,4
"it.polimi.deib.p2pchat.discovery.utilities.IntentSerialization",2.46,32
"it.polimi.deib.p2pchat.discovery.utilities.IntentSerialization.BundleDeserializer",1.00,1
"it.polimi.deib.p2pchat.discovery.utilities.IntentSerialization.BundleSerializer",1.00,1
"it.polimi.deib.p2pchat.discovery.utilities.IntentSerialization.UriDeserializer",1.00,1
"it.polimi.deib.p2pchat.discovery.utilities.IntentSerialization.UriSerializer",1.00,1
